TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
1.22pm,38,15,4,3,3,2/1m,570,3775,6840,0.55,99.34210526,99.34,4.83,280,125
1.19pm,37,20,3.4,3.2,3,2/1m,740,5225,8051.2,0.64,141.2162162,282.42,5.08,385,124
1.13pm,90,"6,6.5,7",3,2.5,3,NIL,600,2600,4500,0.57,28.88888889,57.76,3.43,340,118
1.04pm,146,"16,18",4,3,3,2/1m,2422,14350,29064,0.49,98.28767123,196.56,3.18,400,100
1.13pm,36,5,3,2.5,2.5,NIL,180,625,1350,0.46,17.36111111,34.72,1.78,430,130
1.23pm,37,25,4,3,3,3/1m,925,6500,11100,0.58,175.6756757,175.67,4.7,378,135
1.20pm,110,7,3,2.5,3,NIL,770,3600,5775,0.62,32.72727273,65.44,6.86,370,123
1.20pm,11,7,3,2.5,3,NIL,77,375,577.5,0.64,34.09090909,68.18,6.86,350,123
1.35pm,32,"7,4",3,2.5,3,NIL,167,625,1108,0.56,19.53125,39.06,1.14,390,106
1.23pm,130,7,3,2.5,3,NIL,910,3675,6825,0.3,28.26923077,56.52,7.11,340,120
1.15pm,49,6,3,2.5,3,NIL,294,1075,2205,0.48,21.93877551,43.86,2.41,360,130
5.10pm,56,"6,7,8,9",3.5,3,3,NIL,425,1900,4462,0.42,33.92857143,67.85,2.16,460,116
1.16pm,70,11,3.2,3,3,NIL,770,3875,7392,0.52,55.35714286,110.7,11.3,370,136
1.16pm,70,16,3.5,3,3,2/1m,1120,7075,11760,0.6,101.07,202.14,4.7,410,128
1.23pm,62,7,3,2.5,3,NIL,434,2350,3255,0.72,37.9,75.8,8.89,290,132
1.11pm,64,"7,8",3,3,2.5,NIL,483,2450,4347,0.56,38.28,76.56,1.4,430,106
1.40pm,20,4.5,3,2.5,2.5,NIL,90,300,675,0.44,15,30,NA,510,NA
1.05pm,18,16,3,3,3,2/1m,288,1375,2592,0.53,76.38,152.77,8.76,320,126
1.35pm,33,6,3,2.5,3,nil,198,850,1485,0.57,25.75,51.5,NA,660,NA
1.36PM,58,6,3,2.5,3,NIL,348,1450,2610,0.55,25,50,10.5,320,127
1.28PM,140,7,3,2.5,3,NIL,980,3800,7350,0.51,27.14,54.28,9.78,260,118
5.24PM,27,8,3,3,3,NIL,216,1100,1944,0.56,40.74,81.58,4.19,280,116
1.25PM,25,"13,14",3.5,3,3,2/1M,335,1900,3517,0.54,76,152,3.3,360,118
1.22PM,47,"8,9",3.5,3,3,1/1M,396,1250,4155,0.3,26.59,53.19,1.27,610,106
1.24PM,48,5,3.5,3,2.5,NIL,240,875,2520,0.34,18.22,36.45,1.4,380,106
1.18PM,46,"6,9",3,3,3,NIL,375,1600,3375,0.47,34.78,69.56,2.67,410,106
1.20PM,59,"5,6,8",3,2.5,3,NIL,389,1625,2917.5,0.55,27.54,55.08,1.02,640,106
1.21PM,49,"10,11",3.2,2.8,3,NIL,507,2750,4542.72,0.6,56.12,112.24,4.06,580,118
5.29PM,68,16,4,3,3,2/1M,1088,5300,13056,0.4,77.94,155.88,4.57,390,126
1.13PM,45,16,4,3,3,2/1M,720,3300,8640,0.38,73.33,146.66,2.41,450,106
1.08PM,31,15,4,3,3,2/1M,465,2475,5580,0.44,79.83,159.67,1.78,580,112
1.27PM,98,8,3,3,3,NIL,784,2500,7056,0.35,25.51,51.02,7.87,280,120
1.19PM,22,4,2.5,2.5,2.5,NIL,88,210,660,0.34,8.33,16.66,1.52,580,106
1.25PM,85,"8,9",3,3,3,NIL,726,2950,6534,0.45,34.7,69.4,3.05,315,116
1.23PM,27,7,3,2.5,5,1/1.5M,189,900,1417.5,0.63,33.33,66.66,1.4,640,106
1.50PM,24,"12,15",3,3,3,1/1.5M,291,1475,2619,0.56,61.74,122.91,2.79,290,122
1.21PM,85,7,3,3,3,NIL,595,2250,5355,0.42,26.47,52.94,4.7,310,125
1.07PM,23,12,3.5,3,3.5,1/1.5M,276,1458.32,2898,0.5,63.4,126.8,2.29,430,106
1.06PM,55,"9,10,12,15",3.5,3,3,2/1M,612,3500,6426,0.54,63.83,127.27,1.78,480,118
1.31PM,60,15,4,3.5,3,2/1M,900,5050,12600,0.4,84.16,168.32,6.1,460,122
1.10PM,16,10,3,3,3,NIL,160,750,1440,0.52,49.87,93.74,2.16,450,112
1.17PM,23,24,4.2,3.2,3,2/1M,552,3550,7418.88,0.47,154.34,308.38,3.81,450,126
1.15PM,115,7,3,3,3,NIL,805,2950,7245,0.4,25.65,51.3,12.8,380,125
1.04PM,28,"6,7,8",3.5,3,3,NIL,224,1000,2352,0.42,35.71,35.71,2.16,430,112
1.09PM,35,6,3,3,3,NIL,210,875,1890,0.46,25,50,1.91,420,112
1.13PM,22,17,4,3,3,2/1M,374,2550,4488,0.56,115.9,231.8,3.43,410,122
1.56PM,47,"6,9",3,3,3,NIL,411,2250,3699,0.6,47.87,95.74,NA,510,NA
1.53PM,39,11,3.5,3,3,1/1M,462,2425,4504.5,0.53,62.17,124.35,1.91,480,123
1.51PM,39,5,3.5,3,2.8,NIL,52.5,800,2047.5,0.39,20.51,41.02,2.41,550,106
1.51PM,30,10,3,3,3,1/1M,900,1886.12,2700,0.69,62.87,125.74,2.41,530,106
1.55PM,30,"20,21",4,3,3,2/1M,610,4325,7320,0.59,144.17,288.34,5.72,380,116
1.52PM,30,16,4,3,3,2/1M,480,3250,5760,0.56,108.33,216.67,2.16,370,112
1.07PM,17,9,3,3,3,1/1M,153,711.8,1377,0.51,41.87,83.74,NA,530,NA
1.05PM,18,15,3.2,3,3,2/1M,270,1725,2592,0.66,90.78,181.57,1.27,410,118
1.20PM,70,"10,11,12",3.2,2.8,3,NIL,782,2700,7007,0.39,38.57,77.14,5.21,350,123
1.20PM,45,10,3.2,2.8,3,1/1M,450,1750,4032,0.44,38.88,77.79,2.54,360,118
1.20PM,58,"7,8",3,2.5,3,NIL,370,1400,2775,0.5,24.14,48.28,2.54,380,118
1.21PM,60,"17,20,22",4,3,3,3/1M,1196,6275,14356.6,0.43,104.58,209.16,4.06,410,127
1.10PM,20,14,3.75,3.25,3,2/1M,280,1725,3412.5,0.5,86.25,172.5,NA,540,NA
1.10PM,7,"4,6",3.5,3,3,NIL,38,50,399,0.12,7.14,7.14,NA,570,NA
1.30PM,75,23,3.5,3,3,3/1M,1725,11275,18113,0.62,150.33,300.67,6.35,310,126
1.02PM,23,14,3.5,3,3,2/1M,322,1750,3381,0.51,76.8,152.17,1.91,470,112
5.12PM,49,"5,5.5",3,2.5,2.8,NIL,257.24,870,1929.37,0.45,16.66,33.56,4.19,240,112
1.09PM,43,"9,15",3.5,3,2.5,2/1M,519,3150,5449.5,0.57,73.25,146.51,1.91,410,120
5.14PM,32,18,3.6,3.2,3,2/1M,576,3650,6636,0.55,114.06,228.12,1.65,380,106
5.14PM,43,"18,25",3.6,3.2,3,1/2M,670,4850,7718,0.62,112.79,225.58,0.889,570,106
5.14PM,75,"6,7,8",3,2.5,3,NIL,420,1750,3150,0.55,23.33,46.67,1.4,340,106
1.08PM,30,10,3.5,3,3,1/1M,300,1650,3150,0.52,55,55,3.3,320,131
1.10PM,54,7,2.5,2.5,2.8,NIL,378,1575,2362.5,0.66,29.16,58.33,NA,NA,NA
1.20PM,16,18,3.6,3.2,3,2/1m,288,2150,3318,0.64,134.37,268.75,NA,NA,NA
1.21PM,60,6,3,2.5,3,NIL,360,1200,2700,0.45,20,40,NA,NA,NA
1.25PM,27,13,3.5,3,3,2/1M,351,1925,3685.5,0.52,71.29,142.59,NA,NA,NA
1.39PM,10,12,3.5,3,3,1/1.5M,120,725,1260,0.57,72.5,155,1.91,340,116
1.32PM,77,23,4,3,3,2/1m,1771,10075,21252,0.47,130.84,261.68,5.97,430,120
1.10PM,56,11,3.5,3,3,1/1M,616,3525,6468,0.54,62.94,125.94,NA,NA,NA
1.35PM,28,"6,3",2.5,2,2.5,NIL,108,233.34,540,0.43,15.73,31.47,NA,NA,NA
1.25PM,72,7.5,3,3,3,NIL,540,2500,4860,0.51,34.72,69.44,NA,NA,NA
1.21PM,70,7.5,3.5,3.2,3,NIL,560,3241.7,5880,0.55,46.31,92.62,2.79,340,125
1.22PM,24,7,3.5,3,3,NIL,168,800,1764,0.45,33.3,66.6,3.43,420,122
1.20PM,80,"7,7.5",3,2.5,3,NIL,590,2475,4425,0.55,30.93,61.86,6.99,280,124
1.20PM,30,"5,8",3,3,3,NIL,210,975,1890,0.51,32.5,65,1.02,420,106
1.11PM,36,15,3,2.7,3,2/1M,540,3000,4374,0.68,83.33,166.66,1.14,360,106
1.07PM,31,"5,6,8",3,3,3,NIL,189,750,1701,0.44,24.19,24.19,3.18,410,106
1.03PM,58,5.2 - 8.4,3,3,3,NIL,435,2175,3915,0.55,37.5,37.5,4.95,370,106
1.17PM,51,25,4.2,3.2,3,"3/1,2/1.5",1275,9225,17316,0.53,180.88,361.76,3.38,390,126
1.20PM,35,25,4.2,3.2,3,3/1m,875,5000,11760,0.42,142.85,285/75,NA,NA,NA
1.18PM,31,20,4,3,3,2/1M,800,5350,7440,0.71,172.58,345.16,NA,NA,NA
1.15PM,58,9.5,3,3,3,1/0.7M,551,2950,4959,0.59,50.86,101.72,NA,NA,NA
1.15PM,28,14,3.5,3,3,2/1m,392,1875,4116,0.45,66.96,133.92,NA,NA,NA
1.35PM,40,"6.5,7",3,3,2.5,NILL,263.5,1250,2371.5,0.52,31.25,62.5,NA,NA,NA
1.20PM,35,19,4,3,3,2/1m,665,4300,7890,0.53,122.85,245.7,NA,NA,NA
1.18PM,75,8,3,3,3,NILL,600,3000,5400,0.55,40,80,NA,NA,NA
1.05PM,33,"10,13",3,3,3,1/1m,393,2125,3537,0.6,64.39,128.78,NA,NA,NA
1.07PM,39,5,3,3,3,NILL,195,650,1755,0.37,16.66,33.33,NA,NA,NA
1.10PM,46,7.6,3.5,3,3,NILL,349.6,2075,3915.52,0.52,45.1,90.2,NA,NA,NA
1.07PM,52,"9,6",3,3,3,NILL,387,1925,3483,0.55,37.01,74.03,0.889,400,110
1.08PM,30,"10,11",3,3,3,1/1m,310,1575,2790,0.56,52.5,105,3.3,430,119
1.03PM,45,9,3,2.5,3,1/1m,405,1750,3075.5,0.57,38.88,77.77,2.16,400,123
1.10PM,19,12,3.5,3,3,1/1m,228,1675,2394,0.69,88.15,176.3,1.14,450,112
1.22PM,30,11,3,3,3,1/1m,330,1875,2970,0.63,62.5,125,1.78,430,114
1.29PM,18,8,3,2.5,3,NILL,144,750,1080,0.69,41.66,83.22,1.65,410,116
1.28PM,41,"8.5,10.5",3,3,3,1/0.8m,360.5,2200,3244.5,0.67,53.65,107.3,8.26,340,125
1.28PM,44,6,3,2.6,3,NILL,264,1250,2059.2,0.6,28.4,56.8,8.26,360,125
1.40PM,61,"9,10,11",3.1,2.8,3,1/1M,625,3500,5425,0.64,57.37,114.75,9.4,380,127
2.14PM,36,19,3.6,3.2,3,2/1.5M,684,5400,7879.68,0.68,150,300,7.11,380,124
2.13PM,22,24,4,3.3,3,2/1.5M,528,4400,6969.6,0.63,200,400,5.46,410,110
1.16PM,30,9,3.5,3,3,NILL,270,1700,2835,0.59,56.66,113.33,2.03,530,114
1.11PM,54,14,3.5,3,3,2/1M,756,4050,7938,0.5,75,150,2.41,400,116
1.15PM,30,20,3.6,3.2,3,2/1M,600,4700,6912,0.67,156.66,313.32,4.06,400,110
1.33PM,90,"20,23",4.2,3.2,3,3/1M,1815,12850,24393,0.52,142.77,285.55,7.87,300,124
1.29PM,51,"13,14",3.2,3,3,2/1M,702,3150,6739.2,0.46,61.76,123.52,8.51,370,133
1.13PM,35,"12.5,15",3.6,3.2,3,1/1.5M,490,2900,5644.8,0.51,75,150,1.52,460,106
1.13PM,61,"12,13",3.6,3.2,3,1/1M,774,4525,8916.48,0.5,74.18,148.36,13.3,390,130
1.13PM,40,"13,14",3.6,3.2,3,2/1M,532,3500,6128.64,0.57,87.5,175,7.75,380,126
1.17PM,38,"20,21,22",3.6,3.2,3,2/1M,805,5325,9273.6,0.57,140.13,280.26,6.35,370,124
1.12PM,25,"26,30",3.8,3.3,3,2/1.5M,674,5125,8451.96,0.59,205,410,7.11,450,121
1.10PM,54,"8,9",3,2.5,3,1/0.8M,472,2275,3540,0.64,42.12,84.25,NA,620,NA
1.12PM,21,"4.5,5",3,3,2.8,NILL,95.5,425,859.5,0.49,20.23,40.47,NA,600,NA
1.14PM,43,"2,3,4,6,7,8",3,2.8,2.8,NILL,233,700,1957.2,0.35,16.27,32.55,NA,580,NA
1.46PM,34,9,3,3,3,NILL,306,1561.11,2754,0.56,45.9,91.8,1.14,430,106
1.47PM,23,8,3.5,3,3,NILL,184,874.92,1932,0.45,38.04,76.08,1.02,400,116
1.16PM,20,15,3.6,3.2,3,2/1M,300,1875,3456,0.54,93.75,187.5,1.52,450,110
1.06PM,16,"4,5",2.5,2.5,2.8,NILL,64,150,400,0.37,9.41,18.82,3.18,240,125
1.09PM,131,"6,7,8,9",3.2,2.8,3,NILL,826,2900,5465,0.53,22.13,44.27,1.14,590,106
1.36PM,33,"21,22,23",3.8,3.2,3,3/1M,714.78,5500,8691.72,0.63,166.66,166.66,7.49,510,110
1.10PM,27,7.5,3.5,3,3,1/0.5M,202.5,1125,2126.25,0.52,41.66,83.32,0.762,510,100
1.34PM,87,"14,15.5",3.6,3.2,3,2/1M,1312.5,7600,15120,0.5,87.35,174.7,5.08,390,110
1.06PM,47,"8,10,12,14",3.75,3.25,3,2/1M,586,3450,7141.8,0.48,73.4,146.8,1.27,440,116
1.06PM,20,15,3.75,3.25,3,2/1M,300,1800,3656.25,0.49,90,180,1.27,470,116
1.16PM,21,15,3.6,3.2,3,2/1M,315,2150,3402,0.63,102.34,204.76,0.508,470,110
1.10PM,31,5,2.8,2.5,2.8,NILL,155,625,1085,0.57,20.16,40.32,3.43,410,119
1.04PM,58,"8.3,10",3,3,3,1/1M,506.9,2175,4562.1,0.47,37.5,75,5.21,470,125
1.17PM,33,"19,21",3.6,3.2,3,3/1M,685,4375,7891.2,0.55,132.57,265.14,6.35,430,122
1.38PM,53,"14,16",3.5,3,3,2/1.2M,782,5000,8211,0.6,94.34,188.68,3.81,480,112
1.39PM,43,"14,15",3.6,3.2,3,2/1M,628,3600,7234.56,0.49,83.72,167.44,2.54,380,116
1.40PM,53,"21,22",3.6,3.2,3,3/1M,1149.04,7225,13236.94,0.54,136.32,272.64,7.75,360,120
1.37PM,44,"6,7,9",3.5,3,2.8,NILL,306,1700,3213,0.52,38.63,77.27,3.56,510,116
1.40PM,19,10,4,4,3,1/1M,190,1109.22,2280,0.48,58.38,116.76,7.75,330,120
1.12PM,27,"9.5,10",3.5,3,3,1/1M,259.5,1275,2724.75,0.46,47.22,94.44,1.78,530,100
1.16PM,43,"5,6.5",3,2.5,3,NILL,228.5,925,1713.75,0.53,21.51,43.02,0.635,430,110
1.11PM,38,8,3,2.5,3,nill,304,1400,2280,0.61,36.84,73.68,4.7,370,124
1.10PM,14,"9,10",3.5,3,3,1/1m,132,750,1386,0.54,53.37,53.37,NA,NA,NA
1.12PM,23,15,3.2,3,3,2/1M,345,2275,3312,0.68,98.91,197.82,NA,NA,NA
1.15PM,30,"8.5,10",3.5,3,3,"1/1M,1/0.5M",276,1600,2898,0.55,53.33,106.6,2.79,430,110
5.35PM,40,24.5,3.8,3,3,3/1M,980,6700,11172,0.59,167.5,167.5,5.08,310,122
5.34PM,34,"17,18",3.6,3.2,3,2/1M,588,4275,6773.76,0.63,125.73,251.46,5.72,360,127
1.21PM,34,"17,18,19",3.6,3.2,3,3/1M,575,3825,6624,0.57,112.5,225,3.18,410,117
1.10PM,37,"5,6",3,2.5,3,NILL,199,750,1492.5,0.5,20.27,40.54,0.635,450,100
1.16PM,23,12,3.2,3,3,2/1M,276,1750,2649.6,0.66,76.08,152.16,3.18,350,100
5.5PM,36,6,3,3,3,NILL,216,1025,1944,0.52,28.47,56.94,1.4,420,110
1.17PM,36,"12,15",3.6,3.2,3,"1/1.5,2/1M",513,3225,5910,0.53,89.58,179.16,27.4,150,119
4.57PM,19,12,4,3,3,1/1M,228,1250,2736,0.45,65.78,131.56,3.18,330,125
5.4PM,34,"5,7",3.2,2.5,3,NILL,220,1050,1737,0.6,30.88,30.88,1.14,350,121
1.15PM,54,9,3,3,3,1/1M,486,2325,4374,0.53,43.05,86.1,2.79,200,116
5.00PM,21,25,4,3.5,3,"1.5/2M,1/1M",525,3300,7350,0.44,157.14,314.28,5.72,340,135
4.59PM,23,20,3.6,3.2,3,2/1.5M,460,3150,5299.2,0.59,136.95,273.9,1.27,380,100
5.24PM,20,20,3.6,3.2,3,2/1M,400,2500,4608,0.54,125,250,3.94,300,120
4.49PM,53,15,3.6,3.2,3,2/1M,795,4950,9158.4,0.54,93.39,186.78,3.18,400,106
5.21PM,45,"9,10",3.5,3,3,1/1m,426,2625,4473,0.58,58.33,116.66,9.4,280,128
5.23PM,24,8,3.5,3,3,NILL,192,1250,2016,0.62,52.08,104.16,13.7,230,131
5.23PM,9,5,2.8,2.5,3,NIL,45,125,315,0.39,13.88,13.88,13.7,235,131
1.19PM,18,18.5,3.6,3.2,3,2/1M,333,2175,3836,0.56,120.84,241.68,4.32,360,128
1.16PM,59,"3,5,8,10,12,13",3,3,3,1/1m,593,2264,5337,0.42,38.88,77.76,3.18,370,120
1.15pm,40,"7.5,9",3,3,3,NILL,354,1700,3186,0.53,42.5,85,3.68,360,116
1.17pm,47,"7,9,10,11,12",3.25,2.75,3,"10/1,11/1,12/1m",375,2375,4048,0.58,50,100,3.05,380,123
1.35PM,14,19,3.6,3.2,3,2/1m,380,2100,3064.32,0.68,150,300,2.16,395,118
1.19pm,25,"8.5,10",3.5,3,3,1m,238,1350,2499,0.54,54,54,6.73,280,122
1.08PM,17,15,3,3,4,1/1m,255,1335.3,2295,0.58,78.42,78.42,NA,NA,NA
1.18pm,30,9,3.5,3,3,1/1m,270,1575,2835,0.55,52.5,105,2.54,370,106
1.25pm,68,25,4,3.2,3,3/1m,1700,13386.67,21760,0.61,196.86,196.86,1.4,470,106
1.16PM,20,5,3,2.5,3,NILL,100,463.33,750,0.61,23.16,46.33,NA,NA,NA
1.20PM,32,18,4,3.5,3,2/1M,576,3250,8064,0.4,101.56,101.56,NA,NA,NA
1.15PM,49,"6,7",2,2,3,NILL,336,1125,1344,0.83,22.95,45.9,5.08,360,106
1.14PM,32,13.5,3.3,3.1,3,1/1m,432,2375,4419.36,0.53,74.21,148.43,1.65,390,100
1.14pm,25,"11.5,11.7",3.5,3,3,1m,287.5,1350,3018.75,0.44,54,108,0.88,440,106
1.08PM,20,12,3.5,3,3,1/1.5m,240,1250,2520,0.49,62.5,125,2.16,420,106
1.01PM,20,"9.2, 12.5",3.5,3,3,1/1m,233.5,1250,2451.75,0.5,62.5,125,2.92,480,106
1.21PM,13,25,4,3.5,3,"2/1.5m, 1/1m",325,1813.18,4550,0.39,139.52,270.05,2.16,600,106
1.27PM,37,6,3,2.8,3,NILL,222,950,1864.8,0.5,25.67,51.34,1.91,370,120
1.28PM,46,"13,14,15",3.8,3.4,3,2/1m,656,3700,8475.52,0.43,80.93,160.86,1.78,350,116
1.36PM,41,20,3.6,3.2,3,3/1m,820,5850,9446.4,0.61,142.68,285.36,2.41,390,124
1.13PM,60,"6,7,8,9,10",3,3,3,1/1m,436,2211.12,3924,0.56,36.83,73.7,2.54,410,118
1.27PM,33,6,3.2,2.8,2,NILL,198,925,1774.08,0.52,28.03,56.06,1.14,460,125
1.27PM,22,9,3,3,3,NILL,198,1250,2079,0.6,56.81,113.62,1.14,440,125
1.17PM,27,12,3.5,3,3,1/1m,324,1850,3402,0.53,68.51,137.02,1.27,570,126
1.06PM,46,7,3,2.5,3,NILL,322,1500,2415,0.62,32.6,65.2,5.84,350,106
1.20PM,36,11,3,3,3,1/1.5M,396,2050,3564,0.57,56.94,113.88,4.45,385,106
1.18PM,28,"5,6,7,12",2.5,3,3,1/1M,199.5,1050,1676.25,0.62,37.5,75,1.4,410,106
1.10PM,33,15,3.1,3.1,3,2/1M,495,2500,4756.95,0.5,75.75,151.51,NA,NA,NA
1.17PM,18,12,3.5,3,3,1/1.5M,216,1150,2268,0.5,63.88,63.88,1.78,430,127
1.09PM,38,"10,11,12",3.5,3,3,1/1M,424,2675,4452,0.6,70.39,140.78,15.2,320,124
1.11PM,33,"11,12",3.2,2.8,3,1/1M,391,2575,3503.36,0.73,78.03,156.06,9.14,340,116
1.10PM,42,7,3,2.8,3,NILL,294,1625,2469.6,0.65,38.69,77.38,2.03,380,106
1.16PM,36,7.5,3,2.8,3,NILL,270,1425,2268,0.62,39.58,79.16,12.6,310,120
1.04PM,40,"22,24",4,3,3,3/1M,896,6250,10752,0.58,156.25,312.5,10,320,126
1.04PM,50,7.5,3,2.8,3,NILL,375,1900,3150,0.6,38,76,6.6,360,116
1.12PM,8,5.5,3.5,3,2.5,NILL,44,200,462,0.43,25,50,NA,NA,NA
1.16PM,47,7.5,3,2.8,2.5,1/0.8M,352.5,1950,2961,0.65,41.48,82.96,NA,NA,NA
1.11PM,44,20,4,3,3,2/1M,880,6375,10560,0.6,144.88,144.88,1.27,360,120
1.11PM,27,9,3.5,3,3,NILL,243,1500,2551,0.58,55.55,111,15.6,280,125
